station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window_start,window_end,departures,trains_per_hour,ic_ir_departures,regional_departures,categories
"Vernier, Blandonnet",8587924,46.221936,6.097217,early_morning,2026-03-02,05:00,07:00,107,53.5,0,0,"{""T"": 52, ""B"": 55}"
Lausanne,8501120,46.516795,6.629087,early_morning,2026-03-02,05:00,07:00,45,22.5,16,29,"{""IR"": 10, ""R"": 22, ""RE"": 5, ""IC"": 5, ""S"": 2, ""EC"": 1}"
Renens VD,8501118,46.537046,6.57892,early_morning,2026-03-02,05:00,07:00,44,22.0,12,32,"{""R"": 26, ""IR"": 5, ""RE"": 6, ""IC"": 7}"
Genève,8501008,46.210228,6.142435,early_morning,2026-03-02,05:00,07:00,46,23.0,16,27,"{""R"": 19, ""RE"": 8, ""TER"": 3, ""IR"": 12, ""EC"": 1, ""IC"": 2, ""TGV"": 1}"
Vevey,8501200,46.463002,6.84343,early_morning,2026-03-02,05:00,07:00,31,15.5,8,23,"{""R"": 20, ""IR"": 8, ""RE"": 3}"
Aigle,8501400,46.316856,6.96367,early_morning,2026-03-02,05:00,07:00,26,13.0,8,18,"{""R"": 15, ""IR"": 8, ""RE"": 3}"
Morges,8501037,46.511102,6.493958,early_morning,2026-03-02,05:00,07:00,26,13.0,8,18,"{""RE"": 7, ""R"": 11, ""IR"": 8}"
Montreux,8501300,46.435887,6.910425,early_morning,2026-03-02,05:00,07:00,25,12.5,9,16,"{""R"": 13, ""IR"": 8, ""RE"": 3, ""EC"": 1}"
Nyon,8501030,46.384429,6.23595,early_morning,2026-03-02,05:00,07:00,22,11.0,8,14,"{""IR"": 8, ""RE"": 8, ""R"": 6}"
Genève-Eaux-Vives,8516273,46.201461,6.166549,early_morning,2026-03-02,05:00,07:00,19,9.5,0,19,"{""R"": 14, ""RE"": 5}"
Genève-Champel,8516272,46.192208,6.153473,early_morning,2026-03-02,05:00,07:00,19,9.5,0,19,"{""R"": 14, ""RE"": 5}"
Lancy-Bachet,8517142,46.174342,6.12934,early_morning,2026-03-02,05:00,07:00,19,9.5,0,19,"{""R"": 14, ""RE"": 5}"
